material_id,formula,exfoliation_energy (J/m^2)
3015,Ga2S6Zn3,0.8050949365728226
697,Cl2Hg,0.26800439063320597
4798,AgClO2,0.3148856388235837
1849,GaP3,0.9262316160987918
2131,AsCd3,0.6543440415853111
3518,Cl2NbSe2,0.3014996177558551
5551,Ni2TaTe3,0.3848391495965196
1623,Br2Sc,0.3029865999957154
3440,BiLiO2,0.5436443018077725
1671,BeCl2,0.2891119063041663
330,BI3,0.2513602578130225
3652,Br3Ir,0.29090419145749213
5033,Co2NiO6,0.38276839533076396
2135,Cl4P,0.29769822020443687
1471,CrI2,0.2800977830084686
3845,F6Li2Mn,0.7795388433481419
2390,Au2Se,0.3127032038436283
472,Se5Tl2,0.3732534564723064
3603,Cl2Fe2O5Sr3,0.5332054373805402
387,As4Cl,0.5781638796750672
5780,Ag2S4W,0.24832975952315847
3569,HCuFO,1.0669275399313192
4674,Cr4O9,0.3902003744663613
3498,Li2O3Te,0.32675358751805655
158,Cl3Tl,0.24161959169121375
3447,Cl3Rh,0.29357979567564574
5157,C2KN3,0.4253849622045035
4119,H6Na2O6Pt,0.5958486144422517
3410,O4SiZn2,1.4068354637103644
5073,Cl6InNa3,0.5324887673375961
3591,AgInP2S6,0.33334312641115144
5702,AgBi2F12,0.2921350845464776
5189,Ag3IS,0.2551118149344342
3526,Mn2O8Te3,1.13887004402286
3485,O3Tl4,0.36061192905194045
172,AgS,0.41252714580885835
5330,F5TlZr,0.5831257530908531
2532,FK2,0.5062595982297183
3343,Ga2Mg,1.3548628195221613
3841,Hg6O7Si2,1.2322248320713507
2180,SnTe,0.3554385909862182
3484,AuI,0.3150942204133806
4793,BaO8Ti4,0.1165940293143355
727,InTe,0.2671643921449864
5806,Bi2Ge3O9,1.2216941906673795
1399,BiTl,1.2118188979686002
377,Cl2Y,0.331654368815925
3877,CrO4Sb,0.4158576076273327
2037,F4Pb,0.31616749255858584
2765,SbZn3,1.0739954678326267
5479,As2Si,0.3645603401677675
3757,Br3Cr,0.2908890590172563
4314,FFeO,0.41316792900203747
2218,Cl4Ge,0.27082013261799326
2662,F8Pb3,1.282924003804345
3022,NbTe2,0.4974664813728685
4365,H3AlO3,0.7410492083664516
4360,GeI2Y2,0.23642344558473902
4782,F4W,0.2607798881527211
2673,Br5V2,0.10343461544929926
1888,AsF3,0.29020121381477787
5829,H2AgO4V,1.357898167817264
3284,AuCuSn,3.604669844636545
3751,ITl,0.35989055583734486
5092,F3OV,0.2087526173758002
1738,ClCu,0.45379699898604514
766,PbS2,0.4078461306001941
5635,O5PV,0.55000523100397
1854,Mg2N,1.2713676177319482
5646,BiO5Sb,0.35690460817700953
5144,GaTe,0.2875406135064164
3275,Ga2S4Zn,0.5737888079347583
5973,P,0.47387045427086216
5834,CuGe2O6Zn,1.2398180487778134
3862,Ba2Bi3O7,0.45911940727730866
3089,In2MnSe4,0.3887767611094592
1726,ReS2,0.3950493245566218
348,F3Zr,0.2528458344406375
18,Cl2Hf,0.3107677982910898
5777,Br4S9V4,0.26832462435392296
1608,BiGa,0.5054372622043263
5153,Mn3O8V,0.4858986019876124
4992,LiO12Te2V3,0.5403578466723798
1395,STl,0.3507159464372865
5277,O3PdSe,0.44817535119419394
4748,FeMn2O6,0.3645831242904786
3287,BCaO3,1.0134888055987903
831,S3Y2,1.289467134311601
1000,GeP2,0.4100320814046063
4203,BaFSbSe2,0.38890529350074693
1721,ClTe,0.34994258497861774
1869,F2Hg,0.6632593881071142
5281,BS2Tl,0.5060611703389526
845,FHf,0.41646219748178226
1901,NiPb3,0.8368035554858219
1427,F2Mo,0.5137687596519983
3577,BaF10Te2,0.5464682207751024
203,Cl2Sc,0.3439187134412418
4913,ClInTe,0.41231477160263047
1802,FTe,0.4454278812547395
1495,I2Sc,0.34041085579618213
166,Cl4W,0.27743109295480606
5278,ClFeO3Sr2,0.5091561363852493
5767,Mn4O9Zn,0.7304297229401779
4691,F5W,0.4133863241959878
5253,Al2O3,0.032305002300585674
2196,SZn,0.38458323572205966
4558,IrNb3S8,0.43716745329814805
4862,F5LiV,0.4152827569478649
5310,Cu2MoO7Sr2,0.3378597444957157
4740,AlO3Sb,0.7817510858373595
1722,Nb2Se,0.5007416457083023
758,As2Ni,0.4448525891112892
3704,I3PbTl,0.44205911201633763
633,FeGa2,2.0169606413367016
5556,AgBiP2Se6,0.33527047667943927
4808,Bi2SeTe2,0.3438376077500445
5560,O5Pb3Se,0.6109401894675016
1759,InTe,0.3785549078573548
2102,B2Te3,0.5792554003984451
3512,ClGaTe,0.3169670145258078
1170,CuS2,1.3191784323818994
5409,Co3LiO6,1.7763107377091323
4505,FeO3,0.20973313957114095
5077,Br7Re3Te7,0.2853804574804755
4791,H6HfNa2O6,0.5390873532863424
4684,ClY,0.28961074770360296
3392,F8Sn3,0.4069020200138357
1527,Nb2S3,0.8688204077621283
889,NbS2,0.4502207340719535
3638,H4CaO6Se,0.7285558850019378
5967,F,0.1742407303527748
2074,AgO2,0.5744380895487641
4229,CuLiO2,0.27155796079628197
3544,SiTe2,0.34779326397164234
3348,AgSe2Ti,1.1715837073432767
3393,P,0.4610494843024964
3969,O11Pb9Ti,0.34293846244531845
1812,Cl5Nb,0.5308756014497159
